State_Code,County,County_Seat,Latitude,Longitude
GA, Clay,Fort Gaines,31.625945,-85.058669
GA, Peach,Fort Valley,32.551114,-83.879939
GA, Heard,Franklin,33.279834,-85.098636
GA, Hall,Gainesville,34.2901,-83.829106
GA, Quitman,Georgetown,31.982716,-81.230275
GA, Glascock,Gibson,33.231691,-82.600978
GA, Jones,Gray,33.002021,-83.540932
GA, Greene,Greensboro,33.563569,-83.189093
GA, Meriwether,Greenville,33.030929,-84.716331
GA, Spalding,Griffin,33.241252,-84.276676
GA, Harris,Hamilton,32.764671,-84.875261
GA, Hart,Hartwell,34.349645,-82.92802
GA, Pulaski,Hawkinsville,32.301182,-83.478856
GA, Jeff Davis,Hazlehurst,31.864128,-82.599276
GA, Towns,Hiawassee,34.946158,-83.746335
GA, Liberty,Hinesville,31.826702,-81.615773
GA, Banks,Homer,34.337961,-83.494776
GA, Clinch,Homerville,31.038221,-82.742089
GA, Wilkinson,Irwinton,32.810758,-83.173696
GA, Butts,Jackson,33.292359,-83.967846
GA, Pickens,Jasper,34.466199,-84.435863
GA, Jackson,Jefferson,34.136239,-83.602157
GA, Twiggs,Jeffersonville,32.686289,-83.342676
GA, Wayne,Jesup,31.594574,-81.895699
GA, Clayton,Jonesboro,33.520799,-84.354701
GA, Crawford,Knoxville,32.723259,-83.995933
GA, Walker,LaFayette,34.708848,-85.281494
GA, Troup,LaGrange,33.02698,-85.038261
GA, Lanier,Lakeland,31.040817,-83.07473
GA, Gwinnett,Lawrenceville,33.952875,-83.992231
GA, Lee,Leesburg,31.732058,-84.168546
GA, Oglethorpe,Lexington,33.870069,-83.110154
GA, Lincoln,Lincolnton,33.792714,-82.478438
GA, Jefferson,Louisville,32.992865,-82.397188
GA, Long,Ludowici,31.714008,-81.740291
GA, Stewart,Lumpkin,32.048041,-84.798145
GA, Toombs,Lyons,32.205945,-82.32142
GA, Henry,McDonough,33.437787,-84.155282
GA, Bibb,Macon,32.808845,-83.694194
GA, Telfair,McRae,32.063577,-82.89689
GA, Morgan,Madison,33.579038,-83.475971
GA, Cobb,Marietta,33.953561,-84.542463
GA, Candler,Metter,32.396261,-82.061952
GA, Baldwin,Milledgeville,33.087945,-83.240613
GA, Jenkins,Millen,32.806892,-81.942039
GA, Walton,Monroe,33.797481,-83.718728
GA, Jasper,Monticello,33.295879,-83.686584
GA, Calhoun,Morgan,31.538097,-84.603238
GA, Colquitt,Moultrie,31.17943,-83.790786
GA, Montgomery,Mount Vernon,32.185236,-82.596585
GA, Brantley,Nahunta,31.206217,-81.981216
GA, Berrien,Nashville,31.2045,-83.248499
GA, Coweta,Newnan,33.379672,-84.771204
GA, Baker,Newton,31.316751,-84.339469
GA, Irwin,Ocilla,31.598633,-83.249809
GA, Macon,Oglethorpe,32.293176,-84.062807
GA, Atkinson,Pearson,31.29721,-82.853957
GA, Bryan,Pembroke,32.144525,-81.616915
GA, Houston,Perry,32.472008,-83.726245
GA, Brooks,Quitman,30.784529,-83.560546
GA, Tattnall,Reidsville,32.087331,-82.12479
GA, Catoosa,Ringgold,34.913644,-85.121406
GA, Floyd,Rome,34.266133,-85.186052
GA, Washington,Sandersville,32.982089,-82.809694
GA, Chatham,Savannah,32.018043,-81.196492
GA, Treutlen,Soperton,32.378268,-82.594019
GA, Hancock,Sparta,33.277912,-82.969815
GA, Effingham,Springfield,32.36307,-81.301838
GA, Bulloch,Statesboro,32.437726,-81.775637
GA, Chattooga,Summerville,34.478751,-85.349072
GA, Emanuel,Swainsboro,32.585588,-82.334784
GA, Screven,Sylvania,32.747226,-81.640693
GA, Worth,Sylvester,31.529745,-83.834571
